record_id,record_type,jurisdiction,PII,PHI,public_company,GDPR,CPRA,PIPEDA,HIPAA,SOX,SEC,FINRA,IRS,HGB,unsure
rec_0001,AdoptionRecord,US,True,True,False,False,False,False,True,False,False,False,False,False,False
rec_0002,AllergyRecord,US,True,True,False,False,False,False,True,False,False,False,False,False,False
rec_0003,AllergyRecord,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0004,AutopsyReport,EU_DE,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0005,AutopsyReport,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0006,BenefitsEnrollment,CA,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0007,BillingAddress,EU_DE,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0008,BillingAddress,EU_FR,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0009,BillingAddress,US,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0010,BiometricData,CA,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0011,Chat,US,True,False,False,False,False,False,False,False,False,False,False,False,False
rec_0012,Contract,US,True,False,False,False,False,False,False,False,False,False,False,False,False
rec_0013,Contract,US_CA,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0014,MedicalRecord,CA,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0015,MedicalRecord,EU_DE,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0016,Ticket,EU_FR,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0017,Ticket,US,True,False,False,False,False,False,False,False,False,False,False,False,False
rec_0018,AllergyRecord,CA,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0019,AllergyRecord,EU_FR,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0020,AllergyRecord,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0021,AllergyRecord,US,True,True,False,False,False,False,True,False,False,False,False,False,False
rec_0022,AllergyRecord,US_CA,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0023,AutopsyReport,EU_DE,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0024,AutopsyReport,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0025,AutopsyReport,US_CA,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0026,BenefitsEnrollment,CA,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0027,BenefitsEnrollment,EU_DE,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0028,BenefitsEnrollment,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0029,BenefitsEnrollment,US,True,True,False,False,False,False,True,False,False,False,False,False,False
rec_0030,BenefitsEnrollment,US_CA,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0031,MedicalRecord,CA,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0032,MedicalRecord,EU_DE,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0033,MedicalRecord,EU_FR,False,True,False,False,False,False,False,False,False,False,False,False,False
rec_0034,MedicalRecord,US,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0035,MedicalRecord,US_CA,False,True,False,False,False,False,True,False,False,False,False,False,False
rec_0036,AdoptionRecord,CA,True,True,False,False,False,True,False,False,False,False,False,False,False
rec_0037,AdoptionRecord,EU_DE,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0038,AdoptionRecord,EU_FR,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0039,AdoptionRecord,US_CA,True,True,False,False,True,False,True,False,False,False,False,False,False
rec_0040,AllergyRecord,EU_DE,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0041,AllergyRecord,US_CA,True,True,False,False,True,False,True,False,False,False,False,False,False
rec_0042,BenefitsEnrollment,CA,True,True,False,False,False,True,False,False,False,False,False,False,False
rec_0043,BenefitsEnrollment,EU_FR,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0044,BenefitsEnrollment,US_CA,True,True,False,False,True,False,True,False,False,False,False,False,False
rec_0045,BillingAddress,CA,True,False,False,False,False,True,False,False,False,False,False,False,False
rec_0046,BillingAddress,EU_DE,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0047,BillingAddress,EU_FR,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0048,BillingAddress,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0049,BiometricData,EU_DE,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0050,BiometricData,EU_FR,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0051,BiometricData,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0052,Chat,CA,True,False,False,False,False,True,False,False,False,False,False,False,False
rec_0053,Chat,EU_DE,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0054,Chat,EU_FR,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0055,Chat,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0056,Contract,CA,True,False,False,False,False,True,False,False,False,False,False,False,False
rec_0057,Contract,EU_FR,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0058,Contract,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0059,Email,CA,True,False,False,False,False,True,False,False,False,False,False,False,False
rec_0060,Email,EU_FR,True,False,False,True,False,False,False,False,False,False,False,False,False
rec_0061,Email,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0062,MedicalRecord,CA,True,True,False,False,False,True,False,False,False,False,False,False,False
rec_0063,MedicalRecord,EU_DE,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0064,MedicalRecord,EU_FR,True,True,False,True,False,False,False,False,False,False,False,False,False
rec_0065,MedicalRecord,US_CA,True,True,False,False,True,False,True,False,False,False,False,False,False
rec_0066,Ticket,CA,True,False,False,False,False,True,False,False,False,False,False,False,False
rec_0067,Ticket,US_CA,True,False,False,False,True,False,False,False,False,False,False,False,False
rec_0068,AuditWorkpaper,CA,False,False,True,False,False,False,False,True,False,False,False,False,False
rec_0069,AuditWorkpaper,CA,False,False,True,False,False,False,False,True,False,False,False,False,False
rec_0070,AuditWorkpaper,EU_DE,False,False,True,False,False,False,False,True,False,False,False,True,False
rec_0071,AuditWorkpaper,EU_DE,False,False,True,False,False,False,False,True,False,False,False,True,False
rec_0072,AuditWorkpaper,US,False,False,True,False,False,False,False,True,True,False,False,False,False
rec_0073,BankStatement,CA,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0074,BankStatement,EU_DE,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0075,BankStatement,EU_DE,False,False,False,False,False,False,False,False,False,False,False,False,False
rec_0076,BankStatement,US,True,False,False,False,False,False,False,False,False,True,False,False,False
rec_0077,BankStatement,US,False,False,False,False,False,False,False,False,False,True,False,False,False
rec_0078,BankStatement,US_CA,False,False,False,False,False,False,False,False,False,True,False,False,False
