record_id,record_type,jurisdiction,PII,PHI,public_company,GDPR,CPRA,PIPEDA,HIPAA,SOX,SEC,FINRA,IRS,HGB,unsure
rec_0001,PatientInvoice,CA,FALSE,TRUE,FALSE,,,,,,,,,,
rec_0002,Invoice,EU_DE,FALSE,FALSE,TRUE,,,,,,,,,,
rec_0003,Email,CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0004,PatientInvoice,US_CA,FALSE,FALSE,TRUE,,,,,,,,,,
rec_0005,Invoice,EU_DE,FALSE,FALSE,FALSE,,,,,,,,,,
rec_0006,AllergyRecord,US,FALSE,TRUE,FALSE,,,,,,,,,,
rec_0007,PatientInvoice,US_CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0008,PatientInvoice,US_CA,TRUE,TRUE,FALSE,,,,,,,,,,
rec_0009,Email,EU_FR,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0010,Invoice,EU_FR,FALSE,FALSE,FALSE,,,,,,,,,,
rec_0011,MedicalRecord,EU_DE,TRUE,TRUE,FALSE,,,,,,,,,,
rec_0012,Ticket,US_CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0013,AuditWorkpaper,US,FALSE,FALSE,FALSE,,,,,,,,,,
rec_0014,AutopsyReport,EU_DE,FALSE,FALSE,FALSE,,,,,,,,,,
rec_0015,TaxRecord,US_CA,TRUE,FALSE,TRUE,,,,,,,,,,
rec_0016,Invoice,CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0017,BankStatement,US,TRUE,FALSE,TRUE,,,,,,,,,,
rec_0018,BenefitsEnrollment,US_CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0019,PatientInvoice,EU_FR,FALSE,TRUE,TRUE,,,,,,,,,,
rec_0020,AuditWorkpaper,CA,FALSE,FALSE,TRUE,,,,,,,,,,
rec_0021,AllergyRecord,US,TRUE,TRUE,FALSE,,,,,,,,,,
rec_0022,Invoice,EU_DE,TRUE,FALSE,TRUE,,,,,,,,,,
rec_0023,AutopsyReport,US_CA,FALSE,TRUE,FALSE,,,,,,,,,,
rec_0024,AllergyRecord,CA,FALSE,TRUE,FALSE,,,,,,,,,,
rec_0025,TaxRecord,EU_DE,FALSE,FALSE,TRUE,,,,,,,,,,
rec_0026,AllergyRecord,US_CA,TRUE,FALSE,FALSE,,,,,,,,,,
rec_0027,PatientInvoice,US_CA,FALSE,TRUE,TRUE,,,,,,,,,,
rec_0028,BankStatement,EU_FR,TRUE,FALSE,FALSE,,,,,,,,,,
