record_id,record_type,jurisdiction,PII,PHI,public_company,reference_regulations
rec_0001,PatientInvoice,CA,FALSE,TRUE,FALSE,"HIPAA,IRS"
rec_0002,Invoice,EU_DE,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS,HGB"
rec_0003,Email,CA,TRUE,FALSE,FALSE,PIPEDA
rec_0004,PatientInvoice,US_CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0005,Invoice,EU_DE,FALSE,FALSE,FALSE,"IRS,HGB"
rec_0006,AllergyRecord,US,FALSE,TRUE,FALSE,HIPAA
rec_0007,PatientInvoice,US_CA,TRUE,FALSE,FALSE,"CPRA,IRS"
rec_0008,PatientInvoice,US_CA,TRUE,TRUE,FALSE,"CPRA,HIPAA,IRS"
rec_0009,Email,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0010,Invoice,EU_FR,FALSE,FALSE,FALSE,IRS
rec_0011,MedicalRecord,EU_DE,TRUE,TRUE,FALSE,"GDPR,HIPAA"
rec_0012,Ticket,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0013,AuditWorkpaper,US,FALSE,FALSE,FALSE,IRS
rec_0014,AutopsyReport,EU_DE,FALSE,FALSE,FALSE,none
rec_0015,TaxRecord,US_CA,TRUE,FALSE,TRUE,"CPRA,SOX,SEC,FINRA,IRS"
rec_0016,Invoice,CA,TRUE,FALSE,FALSE,"PIPEDA,IRS"
rec_0017,BankStatement,US,TRUE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0018,BenefitsEnrollment,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0019,PatientInvoice,EU_FR,FALSE,TRUE,TRUE,"HIPAA,SOX,SEC,FINRA,IRS"
rec_0020,AuditWorkpaper,CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0021,AllergyRecord,US,TRUE,TRUE,FALSE,HIPAA
rec_0022,Invoice,EU_DE,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS,HGB"
rec_0023,AutopsyReport,US_CA,FALSE,TRUE,FALSE,HIPAA
rec_0024,AllergyRecord,CA,FALSE,TRUE,FALSE,HIPAA
rec_0025,TaxRecord,EU_DE,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS,HGB"
rec_0026,AllergyRecord,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0027,PatientInvoice,US_CA,FALSE,TRUE,TRUE,"HIPAA,SOX,SEC,FINRA,IRS"
rec_0028,BankStatement,EU_FR,TRUE,FALSE,FALSE,"GDPR,IRS"
rec_0029,PatientInvoice,US,FALSE,TRUE,TRUE,"HIPAA,SOX,SEC,FINRA,IRS"
rec_0030,PatientInvoice,US_CA,TRUE,FALSE,TRUE,"CPRA,SOX,SEC,FINRA,IRS"
rec_0031,PatientInvoice,EU_DE,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS,HGB"
rec_0032,BenefitsEnrollment,US,FALSE,TRUE,FALSE,HIPAA
rec_0033,BenefitsEnrollment,US_CA,TRUE,TRUE,FALSE,"CPRA,HIPAA"
rec_0034,TaxRecord,EU_DE,FALSE,FALSE,FALSE,"IRS,HGB"
rec_0035,BankStatement,US_CA,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS"
rec_0036,TaxRecord,EU_DE,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS,HGB"
rec_0037,AdoptionRecord,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0038,BankStatement,EU_DE,TRUE,FALSE,FALSE,"GDPR,IRS,HGB"
rec_0039,AutopsyReport,EU_DE,FALSE,TRUE,FALSE,HIPAA
rec_0040,BankStatement,US,FALSE,FALSE,FALSE,IRS
rec_0041,PatientInvoice,CA,FALSE,FALSE,FALSE,IRS
rec_0042,AllergyRecord,EU_FR,TRUE,TRUE,FALSE,"GDPR,HIPAA"
rec_0043,Contract,EU_FR,TRUE,FALSE,FALSE,GDPR
rec_0044,MedicalRecord,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0045,BenefitsEnrollment,US,TRUE,TRUE,FALSE,HIPAA
rec_0046,BankStatement,US_CA,TRUE,FALSE,FALSE,"CPRA,IRS"
rec_0047,PatientInvoice,EU_FR,TRUE,FALSE,FALSE,"GDPR,IRS"
rec_0048,Chat,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0049,BenefitsEnrollment,EU_DE,TRUE,TRUE,FALSE,"GDPR,HIPAA"
rec_0050,BankStatement,EU_DE,FALSE,FALSE,TRUE,"SOX,SEC,FINRA,IRS,HGB"
rec_0051,MedicalRecord,US_CA,FALSE,TRUE,FALSE,HIPAA
rec_0052,AdoptionRecord,US,TRUE,FALSE,FALSE,none
rec_0053,TaxRecord,EU_FR,TRUE,FALSE,FALSE,"GDPR,IRS"
rec_0054,PatientInvoice,EU_FR,FALSE,FALSE,FALSE,IRS
rec_0055,BillingAddress,US_CA,TRUE,FALSE,FALSE,CPRA
rec_0056,PatientInvoice,US,TRUE,TRUE,TRUE,"HIPAA,SOX,SEC,FINRA,IRS"
rec_0057,BenefitsEnrollment,CA,TRUE,TRUE,FALSE,"PIPEDA,HIPAA"
rec_0058,MedicalRecord,CA,FALSE,FALSE,FALSE,none
rec_0059,TaxRecord,EU_FR,FALSE,FALSE,FALSE,IRS
rec_0060,TaxRecord,US_CA,TRUE,FALSE,FALSE,"CPRA,IRS"
rec_0061,PatientInvoice,EU_DE,TRUE,TRUE,TRUE,"GDPR,HIPAA,SOX,SEC,FINRA,IRS,HGB"
rec_0062,FinancialStatement,US_CA,FALSE,FALSE,FALSE,IRS
rec_0063,Invoice,EU_FR,TRUE,FALSE,TRUE,"GDPR,SOX,SEC,FINRA,IRS"
rec_0064,PatientInvoice,CA,TRUE,FALSE,FALSE,"PIPEDA,IRS"
rec_0065,PatientInvoice,EU_FR,TRUE,TRUE,TRUE,"GDPR,HIPAA,SOX,SEC,FINRA,IRS"
rec_0066,PatientInvoice,EU_DE,TRUE,FALSE,FALSE,"GDPR,IRS,HGB"
rec_0067,AdoptionRecord,EU_DE,TRUE,FALSE,FALSE,GDPR
rec_0068,Ticket,US,TRUE,FALSE,FALSE,none
rec_0069,BankStatement,US_CA,TRUE,FALSE,TRUE,"CPRA,SOX,SEC,FINRA,IRS"
rec_0070,FinancialStatement,EU_FR,FALSE,FALSE,FALSE,IRS
rec_0071,Chat,US,TRUE,FALSE,FALSE,none
rec_0072,AllergyRecord,US,TRUE,FALSE,FALSE,none
